respID,qID,altID,obsID,profileID,arrested_low,arrested_high,arrested_bus,raise,audits,trainings,protections_report,mandatory_report
1,1,1,1,159,"Yes, arrested many","No, did not arrest many","No, did not arrest many","No, did not raise salaries","No, did not audit","Yes, did trainings","Yes, improved protections","No, did not enforce reporting"
1,1,2,1,241,"Yes, arrested many","Yes, arrested many","Yes, arrested many","Yes, raised salaries","No, did not audit","No, did not do trainings","No, did not improve protections","No, did not enforce reporting"
1,2,1,2,107,"Yes, arrested many","No, did not arrest many","Yes, arrested many","No, did not raise salaries","Yes, audited","No, did not do trainings","No, did not improve protections","Yes, enforced reporting"
1,2,2,2,114,"No, did not arrest many","Yes, arrested many","Yes, arrested many","Yes, raised salaries","No, did not audit","No, did not do trainings","No, did not improve protections","Yes, enforced reporting"
1,3,1,3,9,"Yes, arrested many","Yes, arrested many","Yes, arrested many","No, did not raise salaries","Yes, audited","Yes, did trainings","Yes, improved protections","Yes, enforced reporting"
1,3,2,3,58,"No, did not arrest many","Yes, arrested many","Yes, arrested many","No, did not raise salaries","No, did not audit","No, did not do trainings","Yes, improved protections","Yes, enforced reporting"
1,4,1,4,165,"Yes, arrested many","Yes, arrested many","No, did not arrest many","Yes, raised salaries","Yes, audited","No, did not do trainings","Yes, improved protections","No, did not enforce reporting"
1,4,2,4,160,"No, did not arrest many","No, did not arrest many","No, did not arrest many","No, did not raise salaries","No, did not audit","Yes, did trainings","Yes, improved protections","No, did not enforce reporting"
1,5,1,5,111,"Yes, arrested many","No, did not arrest many","No, did not arrest many","No, did not raise salaries","Yes, audited","No, did not do trainings","No, did not improve protections","Yes, enforced reporting"
1,5,2,5,87,"Yes, arrested many","No, did not arrest many","No, did not arrest many","Yes, raised salaries","No, did not audit","Yes, did trainings","No, did not improve protections","Yes, enforced reporting"
2,1,1,6,96,"No, did not arrest many","No, did not arrest many","No, did not arrest many","No, did not raise salaries","No, did not audit","Yes, did trainings","No, did not improve protections","Yes, enforced reporting"
2,1,2,6,175,"Yes, arrested many","No, did not arrest many","No, did not arrest many","No, did not raise salaries","Yes, audited","No, did not do trainings","Yes, improved protections","No, did not enforce reporting"
2,2,1,7,222,"No, did not arrest many","Yes, arrested many","No, did not arrest many","No, did not raise salaries","No, did not audit","Yes, did trainings","No, did not improve protections","No, did not enforce reporting"
2,2,2,7,19,"Yes, arrested many","No, did not arrest many","Yes, arrested many","Yes, raised salaries","No, did not audit","Yes, did trainings","Yes, improved protections","Yes, enforced reporting"
2,3,1,8,224,"No, did not arrest many","No, did not arrest many","No, did not arrest many","No, did not raise salaries","No, did not audit","Yes, did trainings","No, did not improve protections","No, did not enforce reporting"
2,3,2,8,178,"No, did not arrest many","Yes, arrested many","Yes, arrested many","Yes, raised salaries","No, did not audit","No, did not do trainings","Yes, improved protections","No, did not enforce reporting"
2,4,1,9,15,"Yes, arrested many","No, did not arrest many","No, did not arrest many","No, did not raise salaries","Yes, audited","Yes, did trainings","Yes, improved protections","Yes, enforced reporting"
2,4,2,9,92,"No, did not arrest many","No, did not arrest many","Yes, arrested many","No, did not raise salaries","No, did not audit","Yes, did trainings","No, did not improve protections","Yes, enforced reporting"
2,5,1,10,28,"No, did not arrest many","No, did not arrest many","Yes, arrested many","No, did not raise salaries","No, did not audit","Yes, did trainings","Yes, improved protections","Yes, enforced reporting"
2,5,2,10,252,"No, did not arrest many","No, did not arrest many","Yes, arrested many","No, did not raise salaries","No, did not audit","No, did not do trainings","No, did not improve protections","No, did not enforce reporting"
3,1,1,11,75,"Yes, arrested many","No, did not arrest many","Yes, arrested many","No, did not raise salaries","Yes, audited","Yes, did trainings","No, did not improve protections","Yes, enforced reporting"
3,1,2,11,178,"No, did not arrest many","Yes, arrested many","Yes, arrested many","Yes, raised salaries","No, did not audit","No, did not do trainings","Yes, improved protections","No, did not enforce reporting"
3,2,1,12,142,"No, did not arrest many","Yes, arrested many","No, did not arrest many","No, did not raise salaries","Yes, audited","Yes, did trainings","Yes, improved protections","No, did not enforce reporting"
3,2,2,12,70,"No, did not arrest many","Yes, arrested many","No, did not arrest many","Yes, raised salaries","Yes, audited","Yes, did trainings","No, did not improve protections","Yes, enforced reporting"
3,3,1,13,32,"No, did not arrest many","No, did not arrest many","No, did not arrest many","No, did not raise salaries","No, did not audit","Yes, did trainings","Yes, improved protections","Yes, enforced reporting"
3,3,2,13,58,"No, did not arrest many","Yes, arrested many","Yes, arrested many","No, did not raise salaries","No, did not audit","No, did not do trainings","Yes, improved protections","Yes, enforced reporting"
3,4,1,14,162,"No, did not arrest many","Yes, arrested many","Yes, arrested many","Yes, raised salaries","Yes, audited","No, did not do trainings","Yes, improved protections","No, did not enforce reporting"
3,4,2,14,254,"No, did not arrest many","Yes, arrested many","No, did not arrest many","No, did not raise salaries","No, did not audit","No, did not do trainings","No, did not improve protections","No, did not enforce reporting"
3,5,1,15,24,"No, did not arrest many","No, did not arrest many","No, did not arrest many","Yes, raised salaries","No, did not audit","Yes, did trainings","Yes, improved protections","Yes, enforced reporting"
